Full Name,Cole Number,Collection Status,Species,Picture,Flower Color,Flower Picture,Subspecies,Variety,Form,Locality Data,Watering,Cultivar Name,Synonym,Cultivar and Synonym
L. hookeri v. hookeri,C142B,FALSE,hookeri,,Y,,,v. hookeri,,"30 km NW of Niekerkshoop, South Africa",,,,
L. hookeri v. hookeri,C340,FALSE,hookeri,,Y,,,v. hookeri,,"Near Marydale, South Africa",,,,
L. hookeri v. hookeri,C420,FALSE,hookeri,,Y,,,v. hookeri,,"50 km SW of Hopetown, South Africa",,,,
L. hookeri v. hookeri (vermiculate Form),C023,FALSE,hookeri,,Y,,,v. hookeri,(vermiculate Form),"55 km SW of Prieska, South Africa",,,,
L. hookeri v. hookeri (vermiculate Form),C051,FALSE,hookeri,,Y,,,v. hookeri,(vermiculate Form),"15 km NW of Strydenburg, South Africa",,,,
L. hookeri v. hookeri (vermiculate Form),C335,FALSE,hookeri,,Y,,,v. hookeri,(vermiculate Form),"30 km WSW of Strydenburg, South Africa",,,,
L. hookeri v. hookeri (vermiculate Form),C336,FALSE,hookeri,,Y,,,v. hookeri,(vermiculate Form),"45 km SSW of Prieska, South Africa",,,,
L. hookeri v. lutea,C038,FALSE,hookeri,,Y,,,v. lutea,,"TL: 5 km NE of Groblershoop, South Africa",,,,
L. hookeri v. marginata,C035,FALSE,hookeri,,Y,,,v. marginata,,"TL: 25 km SE of Hopetown, South Africa",,,,
L. hookeri v. marginata,C137,FALSE,hookeri,,Y,,,v. marginata,,"35 km E of Hopetown, South Africa",,,,
L. hookeri v. marginata,C338,FALSE,hookeri,,Y,,,v. marginata,,"35 km SE of Hopetown, South Africa",,,,
L. hookeri v. marginata (cerise Form),C088,FALSE,hookeri,,Y,,,v. marginata,(cerise Form),"20 km ENE of Hopetown, South Africa",,,,
L. hookeri v. marginata (red-brown Form),C053,FALSE,hookeri,,Y,,,v. marginata,(red-brown Form),"25 km SW of Douglas, South Africa",,,,
L. hookeri v. marginata (red-brown Form),C089,FALSE,hookeri,,Y,,,v. marginata,(red-brown Form),"25 km NW of Hopetown, South Africa",,,,
L. hookeri v. marginata (red-brown Form),C154,FALSE,hookeri,,Y,,,v. marginata,(red-brown Form),"30 km NW of Hopetown, South Africa",,,,
L. hookeri v. marginata (red-brown Form),C155,FALSE,hookeri,,Y,,,v. marginata,(red-brown Form),"30 km NW of Hopetown, South Africa",,,,
L. hookeri v. marginata (red-brown Form),C337,FALSE,hookeri,,Y,,,v. marginata,(red-brown Form),"30 km SE of Douglas, South Africa",,,,
L. hookeri v. subfenestrata,C021,FALSE,hookeri,,Y,,,v. subfenestrata,,"TL: 15 km SSW of Prieska, South Africa",,,,
L. hookeri v. subfenestrata,C156,FALSE,hookeri,,Y,,,v. subfenestrata,,"5 km N of Prieska, South Africa",,,,
L. hookeri v. subfenestrata,C175,FALSE,hookeri,,Y,,,v. subfenestrata,,"20 km SSE of Prieska, South Africa",,,,
L. hookeri v. subfenestrata (syn. brunneoviolacea),C019,FALSE,hookeri,,Y,,,v. subfenestrata,,"TL: 40 km SW of Griquatown, South Africa",,,(syn. brunneoviolacea),(syn. brunneoviolacea)
L. hookeri v. susannae,C091,FALSE,hookeri,,Y,,,v. susannae,,"TL: 30 km SE of Douglas, South Africa",,,,
L. julii ssp. fulleri,C416,FALSE,julii,,W,,ssp. fulleri, ,,"65 km W of Kakamas, South Africa",,,,
L. julii ssp. fulleri v. brunnea,C179,FALSE,julii,,W,,ssp. fulleri,v. brunnea,,"TL: 10 km NE of Pofadder, South Africa",,,,
L. julii ssp. fulleri v. fulleri,C024,FALSE,julii,,W,,ssp. fulleri,v. fulleri,,"5 km N of Kenhardt, South Africa",,,,
L. julii ssp. fulleri v. fulleri,C056,FALSE,julii,,W,,ssp. fulleri,v. fulleri,,"25 km SW of Pofadder, South Africa",,,,
L. julii ssp. fulleri v. fulleri,C062,FALSE,julii,,W,,ssp. fulleri,v. fulleri,,"Near Kakamas, South Africa",,,,
L. julii ssp. fulleri v. fulleri,C121,FALSE,julii,,W,,ssp. fulleri,v. fulleri,,"115 km W of Kenhardt, South Africa",,,,
L. julii ssp. fulleri v. fulleri,C122,FALSE,julii,,W,,ssp. fulleri,v. fulleri,,"125 km W of Kenhardt, South Africa",,,,
L. julii ssp. fulleri v. fulleri,C161,FALSE,julii,,W,,ssp. fulleri,v. fulleri,,"Near Pofadder, South Africa",,,,
L. julii ssp. fulleri v. fulleri,C162A,FALSE,julii,,W,,ssp. fulleri,v. fulleri,,"70 km WSW of Pofadder, South Africa",,,,
L. julii ssp. fulleri v. fulleri,C171,FALSE,julii,,W,,ssp. fulleri,v. fulleri,,"60 km W of Upington, South Africa",,,,
L. julii ssp. fulleri v. fulleri,C203,FALSE,julii,,W,,ssp. fulleri,v. fulleri,,"15 km SSE of Kenhardt, South Africa",,,,
L. julii ssp. fulleri v. fulleri,C230B,FALSE,julii,,W,,ssp. fulleri,v. fulleri,,"75 km E of Gamoep, South Africa",,,,
L. julii ssp. fulleri v. fulleri,C259,FALSE,julii,,W,,ssp. fulleri,v. fulleri,,"40 km ENE of Gamoep, South Africa",,,,
L. julii ssp. fulleri v. fulleri,C319,FALSE,julii,,W,,ssp. fulleri,v. fulleri,,"5 km NE of Pofadder, South Africa",,,,
L. julii ssp. fulleri v. fulleri,C323,FALSE,julii,,W,,ssp. fulleri,v. fulleri,,"25 km SW of Upington, South Africa",,,,
L. julii ssp. fulleri v. fulleri,C378,FALSE,julii,,W,,ssp. fulleri,v. fulleri,,"65 km NE of Springbok, South Africa",,,,
L. julii ssp. fulleri v. fulleri 'Fullergreen',C056A,FALSE,julii,,W,,ssp. fulleri,v. fulleri,,"25 km SW of Pofadder, South Africa",,'Fullergreen',,'Fullergreen'
L. julii ssp. fulleri v. rouxii,C215,FALSE,julii,,W,,ssp. fulleri,v. rouxii,,"75 km WSW of Warmbad, Namibia",,,,
L. julii ssp. fulleri v. rouxii,C216,FALSE,julii,,W,,ssp. fulleri,v. rouxii,,"60 km WSW of Warmbad, Namibia",,,,
L. julii ssp. fulleri v. rouxii,C217,FALSE,julii,,W,,ssp. fulleri,v. rouxii,,"70 km WSW of Warmbad, Namibia",,,,
L. julii ssp. fulleri v. rouxii,C324,FALSE,julii,,W,,ssp. fulleri,v. rouxii,,"55 km W of Warmbad, Namibia",,,,
