12809	KF 1871	Haworthia	pygmaea	KF			
1280A	JDV 84/15	Haworthia	pygmaea	KF		Western outskirts of Great Brak River Village	
1280B	KF 2047	Haworthia	pygmaea	KF			
1280C		Haworthia	pygmaea	C&D			
1280D		Haworthia	pygmaea	Tee Dee			
1280E		Haworthia	pygmaea	Tanya			
12901	GM	Haworthia	magnifica/maraisii	JIL		Morning Star	
12A01	GM 745	Haworthia	magnifica/retusa 'vernalis'	JIL		Kruisrivier	
12B01	GM	Haworthia	pygmaea 'asperata'	JIL		Kranshoek, Herbetsdale	
12C01	EA 1200	Haworthia	pygmaea v. argenteo-maculosa	JIL		W Mosselbay	
12C02	KF 1869	Haworthia	pygmaea v. argenteo-maculosa	KF			
12C03	GM 325	Haworthia	pygmaea v. argenteo-maculosa	eBay		"Mossgas" W. of Mossel Bay	
12D01	Murasaki	Haworthia	maughanii	Melanie W.			
12D02	Yuki Guni	Haworthia	maughanii	Lyndsey			
12D03	Tenshi	Haworthia	maughanii	Kanouro			TC
12D04	Obune	Haworthia	maughanii	Kanouro			TC
12D05		Haworthia	maughanii	Sun Love			43PD187
12D06	Ruby Spot	Haworthia	maughanii	Melanie W.			
12D07	Sisou	Haworthia	maughanii	Melanie W.			
12D08		Haworthia	maughanii	Melanie W.			
12D09	Dracula	Haworthia	maughanii	Melanie W.			
12D0A	Aurora	Haworthia	maughanii	Melanie W.			
12D0B	Nova	Haworthia	maughanii	Melanie W.			
12D0C		Haworthia	maughanii	Tanya			
12D0D		Haworthia	maughanii	Matthew M.			
12D0E		Haworthia	maughanii	Melanie W.			
12D0F		Haworthia	maughanii	Sun Love			#2963
12D10		Haworthia	maughanii	Melanie W.			
12D11		Haworthia	maughanii	Tanya			
12D12		Haworthia	maughanii	Melanie W.			
12D13		Haworthia	maughanii	Tanya			
12D14		Haworthia	maughanii	eBay:nicolaus361			
12D15		Haworthia	maughanii	Adam R.	Inazuma hybrid		
12D16		Haworthia	maughanii	eBay:greenplants2018			
12D17		Haworthia	maughanii	Melanie W.			
12D18		Haworthia	maughanii	Melanie W.			
12D19		Haworthia	maughanii	Melanie W.			
12D1A		Haworthia	maughanii	Melanie W.			
12D1B		Haworthia	maughanii	Tanya < Nishi			Large Grower
12E01	D-Light	Haworthia	badia	Iryna			
12F01	KG 386/70	Haworthia	cooperi v. truncata	Kambroo			
13001		Haworthia	maughanii hyb.	eBay			
13101		Haworthia	splendens hyb.	Clinton G.			light green
13102		Haworthia	splendens hyb.	Clinton G.			similar to 'chestnut'
13201		Haworthia	picta hyb.	Clinton G.			
13301	IB 08971	Haworthia	fusca	Haworthialand		W of Paulsfontein	
